x,y
18.660812294182218, 65.81352833638024
29.6377607025247, 74.58866544789763
54.88474204171241, 77.87934186471664
100.98792535675084, 141.49908592321754
121.84412733260154, 163.43692870201096
143.7980241492865, 190.85923217550274
173.4357848518112, 198.53747714808043
214.0504939626784, 230.34734917733087
243.6882546652031, 229.2504570383912
283.205268935236, 247.34917733089577
322.722283205269, 243.51005484460694
356.7508232711307, 261.6087751371115
395.17014270032934, 193.6014625228519
486.2788144895719, 234.73491773308956
524.6981339187706, 238.02559414990858
565.3128430296379, 252.83363802559413
602.6344676180023, 257.76965265082265
648.7376509330406, 248.44606946983544
689.3523600439079, 149.72577696526508
768.3863885839737, 125.04570383912248
845.2250274423711, 120.65813528336379
919.8682766191, 95.9780621572212
996.7069154774973, 91.04204753199268
