x, y
12.035010940919037, 76.38376383763838
56.89277899343544, 147.23247232472326
103.93873085339168, 225.83025830258305
128.00875273522976, 226.3837638376384
145.51422319474835, 246.30996309963103
172.86652078774617, 256.2730627306273
212.253829321663, 225.83025830258305
242.88840262582056, 280.62730627306274
282.2757111597374, 285.05535055350555
322.75711159737415, 276.7527675276753
358.86214442013124, 292.2509225092251
394.9671772428884, 157.19557195571957
482.4945295404814, 174.35424354243543
482.4945295404814, 174.35424354243543
521.8818380743982, 116.78966789667898
564.5514223194748, 140.03690036900372
602.8446389496718, 121.21771217712178
646.6083150984682, 106.82656826568267
687.089715536105, 119.55719557195573
765.8643326039387, 101.29151291512916
843.5448577680525, 92.9889298892989
920.1312910284463, 71.95571955719558
994.5295404814003, 67.52767527675277
33.91684901531728, 96.309963099631
