x,y
37.199124726477024, 88.5608856088561
56.89277899343544, 125.09225092250924
102.84463894967176, 203.69003690036902
125.82056892778992, 226.93726937269375
147.70240700218818, 207.01107011070113
171.77242888402625, 252.39852398523988
215.53610503282275, 232.47232472324725
247.2647702407002, 259.59409594095945
282.2757111597374, 272.87822878228786
321.66301969365423, 264.57564575645756
361.0503282275711, 286.1623616236163
392.77899343544857, 154.98154981549817
480.30634573304155, 177.1217712177122
519.6936542669583, 114.57564575645758
564.5514223194748, 128.41328413284134
597.3741794310722, 119.55719557195573
645.5142231947483, 116.78966789667898
689.2778993435448, 103.50553505535056
765.8643326039387, 104.05904059040591
841.3566739606126, 86.3468634686347
920.1312910284463, 68.08118081180812
995.6236323851202, 70.84870848708488
